Year,State,District,Name,Photo,Photo_Downloadable,Party,Votes,Incumbent,ID
2018,CA,12,Nancy Pelosi,https://upload.wikimedia.org/wikipedia/commons/1/12/Official_photo_of_Speaker_Nancy_Pelosi_in_2019_%281%29.jpg,T,Democratic,"275,292",1,CA_12_1
2018,CA,12,Lisa Remmer,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Republican,"41,780",0,CA_12_2
2018,CA,13,Barbara Lee,https://upload.wikimedia.org/wikipedia/commons/0/01/U.S._Rep._Barbara_Lee_-_Official_Portrait%2C_115th_Congress.jpg,T,Democratic,"260,580",1,CA_13_1
2018,CA,13,Laura Wells,https://upload.wikimedia.org/wikipedia/commons/5/5e/LauraWellsSacramento3_%28cropped%29.jpg,T,Green,"34,257",0,CA_13_2
2018,CA,14,Jackie Speier,https://upload.wikimedia.org/wikipedia/commons/d/d1/Jackie_Speier_official_photo_%28cropped_2%29.jpg,T,Democratic,"211,384",1,CA_14_1
2018,CA,14,Cristina Osmeña,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Republican,"55,439",0,CA_14_2
2018,CA,15,Eric Swalwell,https://upload.wikimedia.org/wikipedia/commons/d/dc/Eric_Swalwell_116th_Congress.jpg,T,Democratic,"177,989",1,CA_15_1
2018,CA,15,Justin Fareed,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Republican,"65,940",0,CA_15_2
2018,CA,16,Jim Costa,https://upload.wikimedia.org/wikipedia/commons/3/39/Jim_Costa_116th_Congress.jpg,T,Democratic,"82,266",1,CA_16_1
2018,CA,16,Elizabeth Heng,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Republican,"60,693",0,CA_16_2
2018,CA,17,Ro Khanna,https://upload.wikimedia.org/wikipedia/commons/1/16/Ro_Khanna%2C_official_portrait%2C_115th_Congress_%283x4%29.jpg,T,Democratic,"159,105",1,CA_17_1
2018,CA,17,Ron Cohen,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Republican,"52,057",0,CA_17_2
2018,CA,18,Anna Eshoo,https://upload.wikimedia.org/wikipedia/commons/1/14/Anna_Eshoo_official_2018.jpg,T,Democratic,"225,142",1,CA_18_1
2018,CA,18,Christine Russell,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Republican,"77,096",0,CA_18_2
2018,CA,19,Zoe Lofgren,https://upload.wikimedia.org/wikipedia/commons/9/96/Zoe_Lofgren%2C_official_portrait%2C_116th_Congress.jpg,T,Democratic,"162,496",1,CA_19_1
2018,CA,19,Justin James Aguilera,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Republican,"57,823",0,CA_19_2
2018,CA,20,Jimmy Panetta,https://upload.wikimedia.org/wikipedia/commons/8/82/Jimmy_Panetta%2C_official_portrait%2C_115th_Congress.jpg,T,Democratic,"183,677",1,CA_20_1
2018,CA,20,Ronald Paul Kabat,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,No party preference,"42,044",0,CA_20_2
2018,CA,21,TJ Cox,https://upload.wikimedia.org/wikipedia/commons/a/a1/TJ_Cox%2C_official_portrait%2C_116th_Congress_%28cropped%29.jpg,T,Democratic,"57,239",0,CA_21_1
2018,CA,21,David Valadao,https://upload.wikimedia.org/wikipedia/commons/b/bf/David_Valadao%2C_official_portrait%2C_113th_Congress_%28cropped%29.jpg,T,Republican,"56,377",1,CA_21_2
2018,CA,22,Devin Nunes,https://upload.wikimedia.org/wikipedia/commons/0/0b/Devin_Nunes%2C_official_portrait%2C_112th_Congress.jpg,T,Republican,"117,243",1,CA_22_1
2018,CA,22,Andrew Janz,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Democratic,"105,136",0,CA_22_2
2018,CA,23,Kevin McCarthy,https://upload.wikimedia.org/wikipedia/commons/1/1d/Kevin_McCarthy%2C_official_portrait%2C_115th_Congress_%28cropped%29.jpg,T,Republican,"131,113",1,CA_23_1
2018,CA,23,Tatiana Matta,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Democratic,"74,661",0,CA_23_2
2018,CA,24,Salud Carbajal,https://upload.wikimedia.org/wikipedia/commons/0/06/Salud_Carbajal_official_photo_%28cropped%29.jpg,T,Democratic,"166,550",1,CA_24_1
2018,CA,24,Justin Fareed,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Republican,"117,881",0,CA_24_2
2018,CA,25,Katie Hill,https://upload.wikimedia.org/wikipedia/commons/f/fc/Katie_Hill%2C_official_portrait%2C_116th_Congress_%283x4%29.jpg,T,Democratic,"133,209",0,CA_25_1
2018,CA,25,Steve Knight,https://upload.wikimedia.org/wikipedia/commons/e/ef/Steve_Knight%2C_official_portrait%2C_114th_Congress.jpeg,T,Republican,"111,813",1,CA_25_2
2018,CA,26,Julia Brownley,https://upload.wikimedia.org/wikipedia/commons/2/21/Julia_Brownley%2C_official_portrait%2C_114th_Congress_%28cropped%29.jpg,T,Democratic,"158,216",1,CA_26_1
2018,CA,26,Antonio Sabàto Jr.,https://upload.wikimedia.org/wikipedia/commons/2/2b/Antonio_Sab%C3%A0to_Jr._%282018%29.jpg,T,Republican,"97,210",0,CA_26_2
2018,CA,27,Judy Chu,https://upload.wikimedia.org/wikipedia/commons/b/bf/Judy_Chu_2019-05-02_%28cropped%29.jpg,T,Democratic,"160,504",1,CA_27_1
2018,CA,27,Bryan Witt,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Democratic,"42,132",0,CA_27_2
2018,CA,28,Adam Schiff,https://upload.wikimedia.org/wikipedia/commons/9/9c/Adam_Schiff_official_portrait_%28cropped%29.jpg,T,Democratic,"196,662",1,CA_28_1
2018,CA,28,Johnny Nalbandian,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Republican,"54,272",0,CA_28_2
2018,CA,29,Tony Cárdenas,https://upload.wikimedia.org/wikipedia/commons/0/09/Tony_C%C3%A1rdenas_114th_Congress_%28cropped%29.jpg,T,Democratic,"124,697",1,CA_29_1
2018,CA,29,Benito Benny Bernal,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Republican,"29,995",0,CA_29_2
2018,CA,30,Brad Sherman,https://upload.wikimedia.org/wikipedia/commons/9/95/Brad_Sherman%2C_official_portrait%2C_116th_Congress_%28cropped%29.jpg,T,Democratic,"191,573",1,CA_30_1
2018,CA,30,Mark Reed,https://upload.wikimedia.org/wikipedia/commons/1/1a/Mark_Reed_%282018%29_%28cropped%29.png,T,Republican,"69,420",0,CA_30_2
2018,CA,31,Pete Aguilar,https://upload.wikimedia.org/wikipedia/commons/e/e5/Pete_Aguilar_Official_Portrait%2C_115th_Congress_%28cropped%29.jpg,T,Democratic,"110,143",1,CA_31_1
2018,CA,31,Sean Flynn,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Republican,"77,352",0,CA_31_2
2018,CA,32,Grace Napolitano,https://upload.wikimedia.org/wikipedia/commons/f/f8/Rep-Napolitano_%28alt_crop%29.jpg,T,Democratic,"121,759",1,CA_32_1
2018,CA,32,Joshua Scott,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Republican,"55,272",0,CA_32_2
2018,CA,33,Ted Lieu,https://upload.wikimedia.org/wikipedia/commons/c/c1/Congressman_Ted_W._Lieu_official_photo_%28cropped%29.jpg,T,Democratic,"219,091",1,CA_33_1
2018,CA,33,Kenneth Wright,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Republican,"93,769",0,CA_33_2
2018,CA,34,Jimmy Gomez,https://upload.wikimedia.org/wikipedia/commons/c/ce/Jimmy_Gomez%2C_official_portrait%2C_115th_Congress_%28cropped%29.jpg,T,Democratic,"110,195",1,CA_34_1
2018,CA,34,Kenneth Mejia,https://upload.wikimedia.org/wikipedia/commons/4/45/Kenneth_Mejia%2C_2017_%28cropped%29.png,T,Green,"41,711",0,CA_34_2
2018,CA,35,Norma Torres,https://upload.wikimedia.org/wikipedia/commons/6/62/Norma_Torres_115th_official_photo_%28cropped%29.jpg,T,Democratic,"103,420",1,CA_35_1
2018,CA,35,Christian Valiente,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Republican,"45,604",0,CA_35_2
2018,CA,36,Raul Ruiz,https://upload.wikimedia.org/wikipedia/commons/5/5c/Raul_Ruiz%2C_official_portrait%2C_113th_congress_%283x4%29.jpg,T,Democratic,"122,169",1,CA_36_1
2018,CA,36,Kimberlin Brown Pelzer,https://upload.wikimedia.org/wikipedia/commons/f/f2/Kimberlin_Brown_Pelzer_%28cropped%29.jpg,T,Republican,"84,839",0,CA_36_2
2018,CA,37,Karen Bass,https://upload.wikimedia.org/wikipedia/commons/5/53/Karen-Bass-2012_%283x4%29.jpg,T,Democratic,"210,555",1,CA_37_1
2018,CA,37,Ron J. Bassilian,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Republican,"25,823",0,CA_37_2
2018,CA,38,Linda Sánchez,https://upload.wikimedia.org/wikipedia/commons/0/0c/Linda_S%C3%A1nchez%2C_116th_Congress%2C_official_photo_%28cropped%29.jpg,T,Democratic,"139,188",1,CA_38_1
2018,CA,38,Ryan Downing,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Republican,"62,968",0,CA_38_2
2018,CA,39,Gil Cisneros,https://upload.wikimedia.org/wikipedia/commons/0/0b/Gil_Cisneros%2C_official_portrait%2C_116th_Congress_%28cropped%29.jpg,T,Democratic,"126,002",0,CA_39_1
2018,CA,39,Young Kim,https://upload.wikimedia.org/wikipedia/commons/d/d0/Young_Kim_%28cropped%29.jpg,T,Republican,"118,391",0,CA_39_2
2018,CA,40,Lucille Roybal-Allard,https://upload.wikimedia.org/wikipedia/commons/2/29/Lucille_Roybal-Allard%2C_Official_Portrait%2C_113th_Congress_%28cropped%29.jpg,T,Democratic,"93,938",1,CA_40_1
2018,CA,40,Rodolfo Cortes Barragan,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Green,"27,511",0,CA_40_2
2018,CA,41,Mark Takano,https://upload.wikimedia.org/wikipedia/commons/1/1a/Mark_Takano_113th_Congress_%28cropped%29.jpg,T,Democratic,"108,227",1,CA_41_1
2018,CA,41,Aja Smith,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Republican,"58,021",0,CA_41_2
2018,CA,42,Ken Calvert,https://upload.wikimedia.org/wikipedia/commons/e/e1/Ken_Calvert%2C_official_portrait%2C_115th_Congress_%28cropped%29.jpg,T,Republican,"131,040",1,CA_42_1
2018,CA,42,Julia Peacock,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Democratic,"100,892",0,CA_42_2
2018,CA,43,Maxine Waters,https://upload.wikimedia.org/wikipedia/commons/b/b8/Maxine_Waters%2C_Official_Portrait%2C_113th_Congress_%28cropped%29.jpg,T,Democratic,"152,272",1,CA_43_1
2018,CA,43,Omar Navarro,https://upload.wikimedia.org/wikipedia/commons/1/15/Omar.navarro_%28cropped%29.jpg,T,Republican,"43,780",0,CA_43_2
2018,CA,44,Nanette Barragán,https://upload.wikimedia.org/wikipedia/commons/5/53/Nanette_Barragan_official_portrait_%28cropped_2%29.jpg,T,Democratic,"97,944",1,CA_44_1
2018,CA,44,Aja Brown,https://upload.wikimedia.org/wikipedia/commons/7/78/Aja_Brown_%28cropped%29.jpg,T,Democratic,"45,378",0,CA_44_2
2018,CA,45,Katie Porter,https://upload.wikimedia.org/wikipedia/commons/4/45/Katie_Porter%2C_official_portrait%2C_116th_Congress_%283x4%29.jpg,T,Democratic,"158,906",0,CA_45_1
2018,CA,45,Mimi Walters,https://upload.wikimedia.org/wikipedia/commons/1/13/Mimi_Walters_full_official_photo_%28cropped%29.jpg,T,Republican,"146,383",1,CA_45_2
2018,CA,46,Lou Correa,https://upload.wikimedia.org/wikipedia/commons/c/c0/Lou_Correa_official_portrait.jpg,T,Democratic,"102,278",1,CA_46_1
2018,CA,46,Russell Rene Lambert,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Republican,"45,638",0,CA_46_2
2018,CA,47,Alan Lowenthal,https://upload.wikimedia.org/wikipedia/commons/9/94/Alan_Lowenthal_113th_Congress_Portrait_%28cropped%29.jpeg,T,Democratic,"143,354",1,CA_47_1
2018,CA,47,John Briscoe,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Republican,"77,682",0,CA_47_2
2018,CA,48,Harley Rouda,https://upload.wikimedia.org/wikipedia/commons/f/f4/Harley_Rouda%2C_official_portrait%2C_116th_Congress_%283x4%29.jpg,T,Democratic,"157,837",0,CA_48_1
2018,CA,48,Dana Rohrabacher,https://upload.wikimedia.org/wikipedia/commons/4/45/Dana_Rohrabacher_official_photo_%28cropped%29.jpg,T,Republican,"136,899",1,CA_48_2
2018,CA,49,Mike Levin,https://upload.wikimedia.org/wikipedia/commons/1/1e/Mike_Levin%2C_official_portrait%2C_116th_Congress_%28cropped%29.jpg,T,Democratic,"166,453",0,CA_49_1
2018,CA,49,Diane Harkey,https://upload.wikimedia.org/wikipedia/commons/3/3e/Diane_Harkey_%28cropped%29.jpg,T,Republican,"128,577",0,CA_49_2
2018,CA,50,Duncan D. Hunter,https://upload.wikimedia.org/wikipedia/commons/1/17/Duncan_Hunter_116th_Congress_%28cropped%29.jpg,T,Republican,"134,362",1,CA_50_1
2018,CA,50,Ammar Campa-Najjar,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Democratic,"125,448",0,CA_50_2
2018,CA,51,Juan Vargas,https://upload.wikimedia.org/wikipedia/commons/4/4b/Juan_Vargas%2C_Official_Portrait%2C_113th_Congress_%28cropped%29.jpg,T,Democratic,"109,527",1,CA_51_1
2018,CA,51,Juan M. Hidalgo Jr.,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Republican,"44,301",0,CA_51_2
2018,CA,52,Scott Peters,https://upload.wikimedia.org/wikipedia/commons/c/c9/Scott_Peters%2C_official_portrait%2C_116th_Congress_%28cropped%29.jpg,T,Democratic,"188,992",1,CA_52_1
2018,CA,52,Omar Qudrat,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Republican,"107,015",0,CA_52_2
2018,CA,53,Susan Davis,https://upload.wikimedia.org/wikipedia/commons/d/df/Susan_Davis%2C_Official_Portrait%2C_112th_Congress_%28cropped%29.jpg,T,Democratic,"185,667",1,CA_53_1
2018,CA,53,Morgan Murtaugh,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Republican,"83,127",0,CA_53_2
