,Year,District,Party,Incumbent,Gender,Age,Edu,score,score_CNN,vote_share,ln_vote_share,Poverty (%),Median_Household_Income,Pop_Total,Sex Ratio,Agesq,Edu_Level,Master & Above,College,High School,Republican,Democratic,Other,city_type,Incumbent_0,Incumbent_1,Gender_F,Gender_M,city_type_rural,city_type_transition,city_type_urban
59,2018,30,Republican,0,M,61.0,Bachelor,66.0,69.0,0.2659841451686444,-1.324318576606021,9.8,86771,766513,0.9622883503745308,3721.0,2,0,1,0,1,0,0,transition,1,0,0,1,0,1,0
60,2018,31,Democratic,1,M,39.0,Bachelor,74.0,74.0,0.5874449985332942,-0.5319726568642007,15.0,69368,751527,0.9599138346950964,1521.0,2,0,1,0,0,1,0,transition,0,1,0,1,0,1,0
61,2018,31,Republican,0,M,45.0,Master,71.0,73.0,0.4125550014667057,-0.8853857452069905,15.0,69368,751527,0.9599138346950964,2025.0,3,1,0,0,1,0,0,transition,1,0,0,1,0,1,0
62,2018,32,Democratic,1,F,82.0,Bachelor,77.0,75.0,0.6877834955459778,-0.3742811772794726,11.0,75176,716199,0.9465155908995784,6724.0,2,0,1,0,0,1,0,transition,0,1,1,0,0,1,0
64,2018,33,Democratic,1,M,49.0,Doctor,77.0,80.0,0.7002844722879243,-0.3562686375096208,7.7,117040,704818,0.9609434991152608,2401.0,3,1,0,0,0,1,0,transition,0,1,0,1,0,1,0
65,2018,33,Republican,0,M,68.0,Master,74.0,65.0,0.2997155277120757,-1.2049214951505518,7.7,117040,704818,0.9609434991152608,4624.0,3,1,0,0,1,0,0,transition,1,0,0,1,0,1,0
66,2018,34,Democratic,1,M,44.0,Master,78.0,79.0,0.7254157176148408,-0.3210103848538169,20.6,51744,748812,1.0577694115060663,1936.0,3,1,0,0,0,1,0,transition,0,1,0,1,0,1,0
67,2018,34,Green,0,M,28.0,Bachelor,68.0,72.0,0.2745842823851592,-1.2924970255050838,20.6,51744,748812,1.0577694115060663,784.0,2,0,1,0,0,0,1,transition,1,0,0,1,0,1,0
68,2018,35,Democratic,1,F,53.0,Bachelor,72.0,72.0,0.6939821773674039,-0.3653089998318913,13.9,69814,769589,0.9857389087568827,2809.0,2,0,1,0,0,1,0,transition,0,1,1,0,0,1,0
69,2018,35,Republican,0,M,34.0,High_school,76.0,73.0,0.3060178226325961,-1.1841119348284934,13.9,69814,769589,0.9857389087568827,1156.0,1,0,0,1,1,0,0,transition,1,0,0,1,0,1,0
70,2018,36,Democratic,1,M,46.0,Master,72.0,69.0,0.5901655974648323,-0.5273521077946501,15.6,50857,752138,1.0053911661662995,2116.0,3,1,0,0,0,1,0,transition,0,1,0,1,0,1,0
71,2018,36,Republican,0,F,57.0,Bachelor,70.0,70.0,0.4098344025351677,-0.8920020971275342,15.6,50857,752138,1.0053911661662995,3249.0,2,0,1,0,1,0,0,transition,1,0,1,0,0,1,0
72,2018,37,Democratic,1,F,65.0,Master,69.0,49.0,0.890755484858997,-0.1156853169411982,17.2,67686,738174,0.9664660704724,4225.0,3,1,0,0,0,1,0,transition,0,1,1,0,0,1,0
73,2018,37,Republican,0,M,44.0,Bachelor,66.0,72.0,0.1092445151410029,-2.2141666509257454,17.2,67686,738174,0.9664660704724,1936.0,2,0,1,0,1,0,0,transition,1,0,0,1,0,1,0
74,2018,38,Democratic,1,F,49.0,Doctor,72.0,69.0,0.6885177783493935,-0.3732141392885728,9.3,77214,716331,0.9624485300765164,2401.0,3,1,0,0,0,1,0,transition,0,1,1,0,0,1,0
76,2018,39,Democratic,0,M,47.0,Master,68.0,67.0,0.5155712315819193,-0.6624798054746918,8.6,96280,726541,0.9537499663861028,2209.0,3,1,0,0,0,1,0,transition,1,0,0,1,0,1,0
77,2018,39,Republican,0,F,56.0,Bachelor,85.0,85.0,0.4844287684180807,-0.7247848792688496,8.6,96280,726541,0.9537499663861028,3136.0,2,0,1,0,1,0,0,transition,1,0,1,0,0,1,0
78,2018,40,Democratic,1,F,77.0,Bachelor,76.0,76.0,0.7734769327042627,-0.2568594313862112,20.4,58834,716470,1.0140384215349498,5929.0,2,0,1,0,0,1,0,rural,0,1,1,0,1,0,0
79,2018,40,Green,0,M,31.0,Doctor,69.0,68.0,0.2265230672957373,-1.4849084968793438,20.4,58834,716470,1.0140384215349498,961.0,3,1,0,0,0,0,1,rural,1,0,0,1,1,0,0
80,2018,41,Democratic,1,M,58.0,Master,79.0,78.0,0.6509973052307396,-0.4292497762126427,14.5,70144,775626,0.9658546847159668,3364.0,3,1,0,0,0,1,0,transition,0,1,0,1,0,1,0
81,2018,41,Republican,0,F,40.0,Bachelor,73.0,74.0,0.3490026947692604,-1.0526756354076277,14.5,70144,775626,0.9658546847159668,1600.0,2,0,1,0,1,0,0,transition,1,0,1,0,0,1,0
82,2018,42,Republican,1,M,65.0,Bachelor,74.0,76.0,0.5649931876584516,-0.5709416051500638,9.0,92503,826801,1.014926718948769,4225.0,2,0,1,0,1,0,0,transition,0,1,0,1,0,1,0
83,2018,42,Democratic,0,F,49.0,Bachelor,74.0,79.0,0.4350068123415483,-0.8323935874607946,9.0,92503,826801,1.014926718948769,2401.0,2,0,1,0,0,1,0,transition,1,0,1,0,0,1,0
84,2018,43,Democratic,1,F,80.0,Bachelor,75.0,76.0,0.7766918980678595,-0.2527115348355328,14.3,69075,753696,0.940524925463056,6400.0,2,0,1,0,0,1,0,transition,0,1,1,0,0,1,0
85,2018,43,Republican,0,M,29.0,Bachelor,70.0,70.0,0.2233081019321404,-1.4992028380708036,14.3,69075,753696,0.940524925463056,841.0,2,0,1,0,1,0,0,transition,1,0,0,1,0,1,0
86,2018,44,Democratic,1,F,42.0,Doctor,69.0,69.0,0.6833842675932515,-0.3806979603542634,19.0,59003,725177,0.957504183987475,1764.0,3,1,0,0,0,1,0,transition,0,1,1,0,0,1,0
87,2018,44,Democratic,0,F,36.0,Master,68.0,71.0,0.3166157324067484,-1.1500664410239303,19.0,59003,725177,0.957504183987475,1296.0,3,1,0,0,0,1,0,transition,1,0,1,0,0,1,0
88,2018,45,Democratic,0,F,44.0,Doctor,75.0,77.0,0.5205100740609717,-0.6529460365304116,8.3,111276,797608,0.9589258435134564,1936.0,3,1,0,0,0,1,0,urban,1,0,1,0,0,0,1
89,2018,45,Republican,1,F,56.0,Bachelor,74.0,78.0,0.4794899259390283,-0.7350323943912797,8.3,111276,797608,0.9589258435134564,3136.0,2,0,1,0,1,0,0,urban,0,1,1,0,0,0,1
90,2018,46,Democratic,1,M,60.0,Doctor,66.0,73.0,0.6914600178479677,-0.3689499490023421,15.5,75036,735139,1.0128551949225402,3600.0,3,1,0,0,0,1,0,transition,0,1,0,1,0,1,0
92,2018,47,Democratic,1,M,77.0,Doctor,66.0,64.0,0.6485549865180332,-0.4330084885070526,13.0,73277,710853,0.9703335569242026,5929.0,3,1,0,0,0,1,0,rural,0,1,0,1,1,0,0
94,2018,48,Democratic,0,M,57.0,Doctor,75.0,71.0,0.5355199229140655,-0.6245171854650798,8.9,97682,719486,0.9861477645396024,3249.0,3,1,0,0,0,1,0,transition,1,0,0,1,0,1,0
95,2018,48,Republican,1,M,71.0,Master,68.0,71.0,0.4644800770859345,-0.7668366127440361,8.9,97682,719486,0.9861477645396024,5041.0,3,1,0,0,1,0,0,transition,0,1,0,1,0,1,0
96,2018,49,Democratic,0,M,40.0,Doctor,64.0,63.0,0.5641900823645053,-0.5723640587954233,8.2,97685,731513,0.9972178689804676,1600.0,3,1,0,0,0,1,0,transition,1,0,0,1,0,1,0
97,2018,49,Republican,0,F,67.0,Bachelor,72.0,79.0,0.4358099176354947,-0.8305490994210277,8.2,97685,731513,0.9972178689804676,4489.0,2,0,1,0,1,0,0,transition,1,0,1,0,0,1,0
98,2018,50,Republican,1,M,42.0,Bachelor,84.0,85.0,0.5171548439244062,-0.6594129446269101,10.2,78947,751551,0.9824610920601424,1764.0,2,0,1,0,1,0,0,transition,0,1,0,1,0,1,0
99,2018,50,Democratic,0,M,29.0,Bachelor,78.0,79.0,0.4828451560755937,-0.7280592645640398,10.2,78947,751551,0.9824610920601424,841.0,2,0,1,0,0,1,0,transition,1,0,0,1,0,1,0
100,2018,51,Democratic,1,M,57.0,Doctor,76.0,77.0,0.7120095171230205,-0.3396640009136801,19.8,53941,747510,1.0269973452791252,3249.0,3,1,0,0,0,1,0,transition,0,1,0,1,0,1,0
101,2018,51,Republican,0,M,51.0,Bachelor,67.0,68.0,0.2879904828769795,-1.2448278449582513,19.8,53941,747510,1.0269973452791252,2601.0,2,0,1,0,1,0,0,transition,1,0,0,1,0,1,0
102,2018,52,Democratic,1,M,60.0,Doctor,65.0,65.0,0.6384713875009712,-0.4486784165716267,8.6,101130,767172,1.0549268347561025,3600.0,3,1,0,0,0,1,0,urban,0,1,0,1,0,0,1
104,2018,53,Democratic,1,F,74.0,Master,73.0,74.0,0.6907408647514454,-0.369990540381597,11.4,81279,796701,0.992753858814054,5476.0,3,1,0,0,0,1,0,transition,0,1,1,0,0,1,0
105,2018,53,Republican,0,F,26.0,Bachelor,83.0,85.0,0.3092591352485546,-1.1735757281343429,11.4,81279,796701,0.992753858814054,676.0,2,0,1,0,1,0,0,transition,1,0,1,0,0,1,0
106,2020,1,Republican,1,M,60.0,Bachelor,49.0,56.0,0.5699444263013485,-0.5622164206236852,15.4,57693,704482,1.0069683036197574,3600.0,2,0,1,0,1,0,0,rural,0,1,0,1,1,0,0
107,2020,1,Democratic,0,F,36.0,Master,79.0,79.0,0.4300555736986515,-0.8438408374857933,15.4,57693,704482,1.0069683036197574,1296.0,3,1,0,0,0,1,0,rural,1,0,1,0,1,0,0
108,2020,2,Democratic,1,M,56.0,Doctor,70.0,69.0,0.7573793263109156,-0.2778910594891454,11.2,81739,714171,0.9776884861844182,3136.0,3,1,0,0,0,1,0,transition,0,1,0,1,0,1,0
109,2020,2,Republican,0,M,62.0,Bachelor,73.0,70.0,0.2426206736890843,-1.4162560689179513,11.2,81739,714171,0.9776884861844182,3844.0,2,0,1,0,1,0,0,transition,1,0,0,1,0,1,0
110,2020,3,Democratic,1,M,75.0,Master,79.0,76.0,0.5467347046528168,-0.6037915948457099,13.3,74939,746967,1.0001204945094668,5625.0,3,1,0,0,0,1,0,transition,0,1,0,1,0,1,0
112,2020,4,Republican,1,M,64.0,Bachelor,85.0,83.0,0.559454054323088,-0.580793873774439,8.5,82657,750420,0.9872463706708896,4096.0,2,0,1,0,1,0,0,transition,0,1,0,1,0,1,0
113,2020,4,Democratic,0,F,36.0,Master,78.0,77.0,0.440545945676912,-0.8197405355788155,8.5,82657,750420,0.9872463706708896,1296.0,3,1,0,0,0,1,0,transition,1,0,1,0,0,1,0
114,2020,5,Democratic,1,M,69.0,Master,58.0,73.0,0.7608005385543183,-0.2733840598722398,9.3,86711,724984,0.9531239897411582,4761.0,3,1,0,0,0,1,0,transition,0,1,0,1,0,1,0
115,2020,5,Republican,0,M,54.0,High_school,63.0,66.0,0.2391994614456817,-1.4304575083894586,9.3,86711,724984,0.9531239897411582,2916.0,1,0,0,1,1,0,0,transition,1,0,0,1,0,1,0
116,2020,6,Democratic,1,F,76.0,Bachelor,69.0,68.0,0.7334325517223759,-0.310019639652522,17.4,64395,764174,0.962172585652184,5776.0,2,0,1,0,0,1,0,transition,0,1,1,0,0,1,0
118,2020,7,Democratic,1,M,55.0,Doctor,82.0,84.0,0.5662391103355775,-0.5687388335652632,10.6,82795,762260,0.9458959938937066,3025.0,3,1,0,0,0,1,0,transition,0,1,0,1,0,1,0
