Year,State,District,Name,Photo,Photo_Downloadable,Party,Votes,Incumbent,ID,Gender,Year_of_Birth,Edu,score,score_CNN,Poverty (%),Median_Household_Income,Pop_Total,Pop_M,Pop_F,Sex Ratio,total_votes,vote_share,ln_vote_share,Age
2018,CA,14,Jackie Speier,https://upload.wikimedia.org/wikipedia/commons/d/d1/Jackie_Speier_official_photo_%28cropped_2%29.jpg,T,Democratic,211384.0,1,CA_14_1,F,1950.0,Doctor,77.0,71.0,7.1,121360,759415,378809,380606,0.9952785820507296,266823.0,0.7922255577667593,-0.23290913255410509,68.0
2018,CA,14,Cristina Osmeña,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Republican,55439.0,0,CA_14_2,F,1968.0,Bachelor,76.0,75.0,7.1,121360,759415,378809,380606,0.9952785820507296,266823.0,0.20777444223324076,-1.5713022000214871,50.0
2018,CA,15,Eric Swalwell,https://upload.wikimedia.org/wikipedia/commons/d/dc/Eric_Swalwell_116th_Congress.jpg,T,Democratic,177989.0,1,CA_15_1,M,1980.0,Doctor,67.0,65.0,5.3,118593,789174,391330,397844,0.9836267481726506,243929.0,0.7296754383447642,-0.31515544871298407,38.0
2018,CA,15,Justin Fareed,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Republican,65940.0,0,CA_15_2,M,1988.0,Bachelor,65.0,67.0,5.3,118593,789174,391330,397844,0.9836267481726506,243929.0,0.2703245616552357,-1.3081319616991154,30.0
2018,CA,16,Jim Costa,https://upload.wikimedia.org/wikipedia/commons/3/39/Jim_Costa_116th_Congress.jpg,T,Democratic,82266.0,1,CA_16_1,M,1952.0,Bachelor,77.0,76.0,25.6,50583,749967,378254,371713,1.0175969094435762,142959.0,0.5754517029358067,-0.5525999762605087,66.0
2018,CA,16,Elizabeth Heng,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Republican,60693.0,0,CA_16_2,F,1985.0,Master,80.0,79.0,25.6,50583,749967,378254,371713,1.0175969094435762,142959.0,0.4245482970641932,-0.8567295056996951,33.0
2018,CA,17,Ro Khanna,https://upload.wikimedia.org/wikipedia/commons/1/16/Ro_Khanna%2C_official_portrait%2C_115th_Congress_%283x4%29.jpg,T,Democratic,159105.0,1,CA_17_1,M,1976.0,Doctor,87.0,87.0,6.5,129602,777468,404033,373435,1.08193661547525,211162.0,0.753473636355026,-0.2830612497758307,42.0
2018,CA,17,Ron Cohen,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Republican,52057.0,0,CA_17_2,M,1959.0,,68.0,69.0,6.5,129602,777468,404033,373435,1.08193661547525,211162.0,0.246526363644974,-1.4002863393117515,59.0
2018,CA,18,Anna Eshoo,https://upload.wikimedia.org/wikipedia/commons/1/14/Anna_Eshoo_official_2018.jpg,T,Democratic,225142.0,1,CA_18_1,F,1942.0,Bachelor,80.0,83.0,6.3,142215,750295,375370,374925,1.001186904047476,302238.0,0.7449162580482931,-0.2944834722248318,76.0
2018,CA,18,Christine Russell,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Republican,77096.0,0,CA_18_2,F,,,80.0,83.0,6.3,142215,750295,375370,374925,1.001186904047476,302238.0,0.2550837419517069,-1.3661633879245108,
2018,CA,19,Zoe Lofgren,https://upload.wikimedia.org/wikipedia/commons/9/96/Zoe_Lofgren%2C_official_portrait%2C_116th_Congress.jpg,T,Democratic,162496.0,1,CA_19_1,F,1947.0,Doctor,75.0,77.0,8.2,109704,763028,379974,383054,0.9919593582105916,220319.0,0.7375487361507632,-0.3044231100352528,71.0
2018,CA,19,Justin James Aguilera,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Republican,57823.0,0,CA_19_2,M,,Bachelor,72.0,73.0,8.2,109704,763028,379974,383054,0.9919593582105916,220319.0,0.2624512638492368,-1.3376898757144104,
2018,CA,20,Jimmy Panetta,https://upload.wikimedia.org/wikipedia/commons/8/82/Jimmy_Panetta%2C_official_portrait%2C_115th_Congress.jpg,T,Democratic,183677.0,1,CA_20_1,M,1969.0,Doctor,80.0,79.0,12.6,83722,739352,370199,369153,1.0028335134754425,225721.0,0.8137346547286252,-0.20612094311350637,49.0
2018,CA,20,Ronald Paul Kabat,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,No party preference,42044.0,0,CA_20_2,M,1942.0,Master,67.0,69.0,12.6,83722,739352,370199,369153,1.0028335134754425,225721.0,0.18626534527137484,-1.680583034397606,76.0
2018,CA,21,TJ Cox,https://upload.wikimedia.org/wikipedia/commons/a/a1/TJ_Cox%2C_official_portrait%2C_116th_Congress_%28cropped%29.jpg,T,Democratic,57239.0,0,CA_21_1,M,1963.0,Master,77.0,73.0,24.9,51382,713625,375964,337661,1.113436257074403,113616.0,0.5037934797915786,-0.6855888572045844,55.0
2018,CA,21,David Valadao,https://upload.wikimedia.org/wikipedia/commons/b/bf/David_Valadao%2C_official_portrait%2C_113th_Congress_%28cropped%29.jpg,T,Republican,56377.0,1,CA_21_2,M,1977.0,Bachelor,68.0,70.0,24.9,51382,713625,375964,337661,1.113436257074403,113616.0,0.4962065202084214,-0.7007630675277757,41.0
2018,CA,22,Devin Nunes,https://upload.wikimedia.org/wikipedia/commons/0/0b/Devin_Nunes%2C_official_portrait%2C_112th_Congress.jpg,T,Republican,117243.0,1,CA_22_1,M,1973.0,Master,72.0,70.0,16.5,65339,771095,377846,393249,0.9608314325020534,222379.0,0.5272215451998615,-0.6401344294060792,45.0
2018,CA,22,Andrew Janz,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Democratic,105136.0,0,CA_22_2,M,1984.0,Doctor,84.0,83.0,16.5,65339,771095,377846,393249,0.9608314325020534,222379.0,0.4727784548001385,-0.7491283833022135,34.0
2018,CA,23,Kevin McCarthy,https://upload.wikimedia.org/wikipedia/commons/1/1d/Kevin_McCarthy%2C_official_portrait%2C_115th_Congress_%28cropped%29.jpg,T,Republican,131113.0,1,CA_23_1,M,1965.0,Master,71.0,71.0,18.7,59881,747852,380613,367239,1.036417700734399,205774.0,0.6371699048470653,-0.45071893237069244,53.0
2018,CA,23,Tatiana Matta,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Democratic,74661.0,0,CA_23_2,F,1983.0,Master,83.0,83.0,18.7,59881,747852,380613,367239,1.036417700734399,205774.0,0.3628300951529348,-1.0138206117202893,35.0
2018,CA,24,Salud Carbajal,https://upload.wikimedia.org/wikipedia/commons/0/06/Salud_Carbajal_official_photo_%28cropped%29.jpg,T,Democratic,166550.0,1,CA_24_1,M,1964.0,Master,75.0,76.0,12.8,78085,738707,371237,367470,1.0102511769668272,284431.0,0.5855550203740099,-0.5351951287556452,54.0
2018,CA,24,Justin Fareed,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Republican,117881.0,0,CA_24_2,M,1988.0,Bachelor,65.0,67.0,12.8,78085,738707,371237,367470,1.0102511769668272,284431.0,0.41444497962599014,-0.8808150523585645,30.0
2018,CA,25,Katie Hill,https://upload.wikimedia.org/wikipedia/commons/f/fc/Katie_Hill%2C_official_portrait%2C_116th_Congress_%283x4%29.jpg,T,Democratic,133209.0,0,CA_25_1,F,1987.0,Master,84.0,83.0,12.8,83915,716257,352672,363585,0.9699850103827166,245022.0,0.5436613855082401,-0.6094286790404112,31.0
2018,CA,25,Steve Knight,https://upload.wikimedia.org/wikipedia/commons/e/ef/Steve_Knight%2C_official_portrait%2C_114th_Congress.jpeg,T,Republican,111813.0,1,CA_25_2,M,1966.0,Bachelor,78.0,78.0,12.8,83915,716257,352672,363585,0.9699850103827166,245022.0,0.45633861449175994,-0.7845201694008029,52.0
2018,CA,26,Julia Brownley,https://upload.wikimedia.org/wikipedia/commons/2/21/Julia_Brownley%2C_official_portrait%2C_114th_Congress_%28cropped%29.jpg,T,Democratic,158216.0,1,CA_26_1,F,1952.0,Master,68.0,68.0,9.0,88047,728927,362214,366713,0.9877315502859184,255426.0,0.6194201060189644,-0.47897155149365467,66.0
2018,CA,26,Antonio Sabàto Jr.,https://upload.wikimedia.org/wikipedia/commons/2/2b/Antonio_Sab%C3%A0to_Jr._%282018%29.jpg,T,Republican,97210.0,0,CA_26_2,M,1972.0,High_school,75.0,73.0,9.0,88047,728927,362214,366713,0.9877315502859184,255426.0,0.3805798939810356,-0.9660591526804009,46.0
