"GEO_ID","NAME","B01001_001E","B01001_001M","B01001_002E","B01001_002M","B01001_003E","B01001_003M","B01001_004E","B01001_004M","B01001_005E","B01001_005M","B01001_006E","B01001_006M","B01001_007E","B01001_007M","B01001_008E","B01001_008M","B01001_009E","B01001_009M","B01001_010E","B01001_010M","B01001_011E","B01001_011M","B01001_012E","B01001_012M","B01001_013E","B01001_013M","B01001_014E","B01001_014M","B01001_015E","B01001_015M","B01001_016E","B01001_016M","B01001_017E","B01001_017M","B01001_018E","B01001_018M","B01001_019E","B01001_019M","B01001_020E","B01001_020M","B01001_021E","B01001_021M","B01001_022E","B01001_022M","B01001_023E","B01001_023M","B01001_024E","B01001_024M","B01001_025E","B01001_025M","B01001_026E","B01001_026M","B01001_027E","B01001_027M","B01001_028E","B01001_028M","B01001_029E","B01001_029M","B01001_030E","B01001_030M","B01001_031E","B01001_031M","B01001_032E","B01001_032M","B01001_033E","B01001_033M","B01001_034E","B01001_034M","B01001_035E","B01001_035M","B01001_036E","B01001_036M","B01001_037E","B01001_037M","B01001_038E","B01001_038M","B01001_039E","B01001_039M","B01001_040E","B01001_040M","B01001_041E","B01001_041M","B01001_042E","B01001_042M","B01001_043E","B01001_043M","B01001_044E","B01001_044M","B01001_045E","B01001_045M","B01001_046E","B01001_046M","B01001_047E","B01001_047M","B01001_048E","B01001_048M","B01001_049E","B01001_049M",
"5001600US0609","Congressional District 9 (116th Congress), California","758327","2019","375294","1847","27175","925","28690","1052","30591","1078","18691","660","11794","586","5395","543","5662","560","15462","735","26132","930","25010","722","24202","775","23307","765","24027","846","23655","798","22929","860","8689","590","11770","656","6145","472","9016","524","10946","610","7383","492","4638","436","3985","377","383033","2031","25291","874","29365","1078","28924","1107","17183","658","10432","550","4632","555","5745","570","15122","939","25140","851","25023","745","24805","968","24646","932","23945","865","24341","668","23261","952","9449","594","12056","642","7956","654","9571","554","13052","613","9116","522","6369","473","7609","584",
"5001600US0610","Congressional District 10 (116th Congress), California","744389","1136","369693","1268","26775","604","27839","988","30680","1088","17902","441","10219","282","5721","544","6051","544","15202","712","27433","554","25640","553","24462","840","23452","947","23630","509","24104","472","22151","768","7598","583","10592","595","6871","507","7677","552","10220","561","7561","450","4116","332","3797","370","374696","1210","26327","565","28276","934","27267","1021","17056","501","10207","387","5045","478","5078","542","15186","788","26042","596","24839","447","24061","815","23538","775","24506","500","24053","385","23594","710","8780","525","10459","610","6657","466","8970","532","12705","654","8709","490","6292","438","7049","448",
"5001600US0611","Congressional District 11 (116th Congress), California","754654","1898","367502","1689","22298","627","24003","854","23969","823","14332","484","8451","427","4439","493","4411","452","14412","725","25184","646","24587","697","24999","1059","24103","955","25559","726","26072","655","25812","826","9100","536","12683","788","8086","520","10667","587","13272","655","8914","421","6191","416","5958","432","387152","1829","21908","606","23645","801","22974","850","14018","473","7860","471","3856","546","4490","524","13956","830","24673","556","24920","621","25218","877","24750","951","26299","656","27922","521","27067","815","10351","589","14707","723","9163","535","13060","574","16193","648","10594","549","9004","503","10524","552",
"5001600US0612","Congressional District 12 (116th Congress), California","756773","2199","388005","1396","17764","401","13581","575","12606","570","6883","264","4702","237","2702","399","2406","404","14492","590","46726","657","48416","458","37368","963","28781","971","28774","354","26452","391","23118","794","8872","622","13579","579","7948","568","10274","531","11249","653","8844","501","6406","435","6062","472","368768","1469","17345","325","12598","724","12279","624","6548","233","4751","296","2367","393","2722","325","15461","665","45712","490","43771","465","31597","931","26157","934","23153","405","21512","376","20343","681","8595","614","12219","694","7877","513","10470","584","13065","561","9677","655","8107","672","12442","731",
"5001600US0613","Congressional District 13 (116th Congress), California","754861","394","365864","1739","20757","762","19607","764","20302","751","11102","479","10585","507","5582","583","5640","672","16174","754","34609","984","33073","785","27873","916","26607","912","24604","795","22658","760","21926","703","8024","499","11751","692","7506","482","9613","546","11563","584","7170","410","4667","418","4471","409","388997","1672","21697","694","18753","819","18724","793","10871","561","11568","362","5370","512","6580","747","17005","794","35885","953","32933","923","29551","900","27120","956","24732","686","23832","694","23572","873","9363","592","13650","662","8467","521","11204","578","13471","641","8749","500","7108","483","8792","539",
"5001600US0614","Congressional District 14 (116th Congress), California","753548","2788","372223","1900","21507","542","22182","775","20231","758","12728","353","7991","344","4475","571","4205","518","14706","734","30627","746","29278","560","28113","965","25730","896","26484","511","25727","551","24167","721","9596","676","13380","693","7922","498","10249","608","11940","534","9208","510","5703","468","6074","392","381325","1799","19544","499","20919","714","20003","711","11864","388","8329","357","3801","351","3759","452","15198","748","26131","518","28163","605","27531","864","25651","847","26710","582","26900","559","26411","712","10462","654","13961","694","8822","482","11653","474","15171","614","11246","619","8438","535","10658","635",
"5001600US0615","Congressional District 15 (116th Congress), California","773841","1653","383873","2039","25884","707","27420","832","26199","865","15290","535","7879","523","3941","379","4054","474","13209","799","27048","1112","27920","1011","29175","997","29085","815","28766","863","27820","794","25578","874","9342","538","11950","633","6327","433","9528","598","10631","542","7633","509","4966","445","4228","383","389968","2123","22537","749","24842","836","26004","972","14557","592","7200","390","3301","346","3579","391","12650","701","25504","1084","29682","988","30513","953","28613","952","28898","750","28349","767","26706","891","9240","503","12556","681","7424","453","10725","655","13550","693","9199","556","6223","451","8116","483",
"5001600US0616","Congressional District 16 (116th Congress), California","728535","3309","363149","2227","32197","802","30907","1211","30808","1197","18061","515","12279","478","6806","567","6308","724","16652","767","30836","802","25773","642","23512","945","21713","1092","20275","584","19907","570","17424","756","7611","510","8886","585","5342","460","6799","459","8424","532","5864","350","3664","361","3101","363","365386","2441","30945","646","31221","1080","29786","1017","16814","589","11372","407","6019","551","6603","604","15890","757","28697","829","25436","591","23794","924","21647","820","20444","578","20682","648","19552","721","6699","517","9199","538","4923","493","7790","527","10375","536","6795","522","4838","429","5865","466",
"5001600US0617","Congressional District 17 (116th Congress), California","771459","2880","392414","2518","25057","1020","23279","991","23329","1039","12424","686","8120","571","4485","534","4252","609","14643","818","37624","1359","39139","1273","32469","1129","30274","929","27402","837","26887","846","23380","1012","8503","496","10604","584","6035","428","7932","510","9442","540","7263","521","5310","436","4561","384","379045","2260","24121","866","22912","949","21513","868","12726","539","7438","525","3246","489","3480","414","13992","743","32283","1050","34923","893","28519","853","27906","991","26837","807","24594","839","23448","876","8518","563","10953","676","7028","549","8306","511","11526","469","9353","582","7173","449","8250","542",
"5001600US0618","Congressional District 18 (116th Congress), California","740932","3663","370743","2698","21760","913","25274","976","24435","1087","14082","602","8234","589","3656","539","4156","545","13444","923","25904","1228","26855","1040","26044","1090","24871","955","27410","827","28049","882","25541","771","9499","658","11935","609","7220","439","8775","558","12469","581","8420","495","6273","443","6437","456","370189","2558","20404","967","21172","736","24633","983","13130","617","7696","502","3480","504","3018","379","11931","751","22488","841","24228","865","24900","1005","27360","1121","28427","892","27876","787","25779","820","9114","552","12427","575","7883","553","9938","531","14305","695","10574","552","8330","509","11096","615",
"5001600US0619","Congressional District 19 (116th Congress), California","759866","3313","381227","2552","24206","729","24578","962","25720","972","15528","548","9852","515","5848","579","6097","521","16722","1007","29367","1123","28542","903","27005","1088","28291","907","27441","782","26728","795","23561","875","8871","664","11283","650","6618","429","8340","547","10613","614","7986","453","4296","394","3734","337","378639","2276","23489","865","23079","805","26708","1043","14387","630","9507","506","5261","530","4772","456","16255","727","26850","787","26756","749","26361","830","26702","828","25761","679","25706","752","23799","863","9469","637","12068","512","7119","526","9735","513","12783","482","8947","526","6028","433","7097","526",
"5001600US0620","Congressional District 20 (116th Congress), California","735667","1799","370721","1072","25349","314","25725","861","26068","899","15113","254","13237","354","8294","712","6413","533","17135","733","27361","368","27032","378","24360","855","23650","878","22980","277","22388","287","21597","768","8621","561","11823","648","7749","483","8889","535","10832","529","6936","398","4933","437","4236","388","364946","1158","24345","355","24263","775","25122","831","14300","232","13809","289","7816","756","6076","466","16213","766","24280","339","24136","358","22061","820","22128","797","21621","297","22158","286","23575","761","8566","627","11720","602","8522","490","9427","546","11566","549","7901","545","6502","452","8839","528",
"5001600US0621","Congressional District 21 (116th Congress), California","712857","3153","375165","2266","29928","869","30763","1022","31775","1069","17961","753","11499","567","6982","634","6816","698","20048","833","32837","955","30062","842","26138","876","24702","1109","22564","728","21625","736","18718","828","6168","462","8122","523","5299","475","5629","483","6887","491","4754","383","2983","317","2905","394","337692","2252","29676","855","31328","1018","31002","1005","17191","711","9996","518","5393","615","4997","609","15751","897","25449","868","23507","847","22396","827","20582","969","19049","731","17620","614","16146","668","6557","517","8004","597","4666","413","5731","547","8147","545","5837","455","4552","431","4115","415",
"5001600US0622","Congressional District 22 (116th Congress), California","755464","3991","372369","2428","30791","966","30960","1325","32006","1262","16840","563","10785","607","5468","508","5418","518","16758","780","28361","977","27426","766","24899","996","20676","862","21591","721","21429","597","19929","731","7981","602","10193","598","6183","436","8086","442","10543","535","7163","480","4631","398","4252","400","383095","3046","28648","931","29797","1259","28197","1054","17589","603","10944","539","6117","627","5527","662","16229","792","28595","757","26470","692","23959","966","22635","761","22345","643","22549","562","22085","802","8223","599","10807","531","6914","504","9519","546","12342","606","8555","505","5945","452","9104","564",
"5001600US0623","Congressional District 23 (116th Congress), California","740768","3669","376011","2401","28013","1080","28894","1216","30013","1258","18159","720","9817","593","6273","678","5392","593","14747","909","29657","926","27222","757","24739","1035","23449","1042","22935","789","22376","691","23263","951","8374","653","10680","672","6454","593","8498","628","11154","618","7128","504","4768","401","4006","406","364757","2652","26333","897","27470","1066","28170","1261","16490","859","9012","508","4786","515","5304","711","14530","893","26571","886","24958","733","23326","1117","20835","962","21601","696","22574","569","22393","1043","7887","647","12708","731","7245","495","8939","588","12340","549","8484","524","6186","539","6615","501",
"5001600US0624","Congressional District 24 (116th Congress), California","734027","630","369409","459","21569","155","21945","729","20544","749","12793","79","17489","351","9998","859","9894","1058","22481","965","25961","199","24114","240","22461","925","19943","887","20700","228","21837","246","22187","845","9218","594","12351","681","8118","495","10330","577","13403","530","9301","485","5964","414","6808","387","364618","402","20655","223","19942","742","21389","747","12157","102","17929","450","10486","793","8593","802","18163","953","21927","176","21345","190","20599","743","18433","724","19488","159","21752","181","23927","690","9731","473","13310","664","8666","549","11961","495","14416","577","10993","460","9134","528","9622","541",
"5001600US0625","Congressional District 25 (116th Congress), California","718950","2514","357136","2382","25769","1213","26012","1012","28067","1231","17110","660","10605","598","5458","525","5088","444","15506","904","24266","956","20827","917","21841","970","22859","910","25760","868","26028","905","25759","986","8354","595","11626","658","5950","450","8051","528","9026","597","6638","429","3435","440","3101","301","361814","2919","23786","1130","24644","1326","27290","1079","16800","787","9347","658","4925","535","4529","495","12985","749","24422","1163","22208","825","22626","863","23950","894","25953","806","27981","968","25213","928","8607","564","11085","683","6805","495","8856","572","10733","613","8056","524","5254","455","5759","578",
"5001600US0626","Congressional District 26 (116th Congress), California","725953","967","359471","1158","22889","374","24089","745","26058","748","15310","327","9748","326","5816","515","4800","523","15553","704","25987","366","24278","407","22939","856","21878","828","23124","428","24758","461","24715","779","8836","526","11020","674","7924","511","9031","557","11712","561","8100","403","5233","363","5673","456","366482","1008","22301","420","23247","820","24620","850","15041","299","9485","270","5256","527","4623","476","15265","682","23761","471","22647","419","22001","789","22939","731","24309","369","24951","416","25230","755","9695","704","12550","600","7835","456","10128","536","13662","564","9786","527","7535","486","9615","570",
"5001600US0627","Congressional District 27 (116th Congress), California","717944","2397","347467","2560","20986","1019","17961","930","20451","839","13440","649","8291","654","4392","474","4224","407","12627","747","26449","1148","22784","1079","22530","887","23871","845","25189","921","24522","818","24371","828","8701","572","12227","596","7459","502","9930","568","12957","682","9275","477","7322","589","7508","532","370477","2159","18755","926","17517","824","18964","862","11771","631","7929","510","3938","397","3959","419","12487","725","24587","1144","24868","911","23387","901","25565","1029","27134","948","26939","928","27256","920","10175","549","15042","658","8551","548","12213","696","15356","793","12168","593","10242","628","11674","750",
"5001600US0628","Congressional District 28 (116th Congress), California","715011","3832","355987","3111","16965","862","15513","785","15114","841","9338","691","6183","633","3628","361","3852","510","13516","783","34808","1372","36674","1381","29585","1130","25092","1013","27152","1008","27089","975","23861","830","9479","612","12174","720","6818","533","8798","535","11180","711","7552","526","5861","491","5755","578","359024","2557","15085","968","14990","937","14707","900","9091","651","5761","573","3614","467","3179","399","14158","924","35870","1364","32253","985","26353","1077","23607","952","25454","1089","25320","1004","24798","949","9243","654","12782","708","7720","590","10651","623","14646","823","11038","619","8832","578","9872","737",
